75	38	Кострома	41	74	121	172	223	255	278	279	269	277	267	266	266
76	86	Новороссийск	17	68	95	93	133	159	186	232	242	267	262	262	262
77		Химки	—	3	23	48	85	119	133	141	207	240	257	257	257
78	29	Тамбов	48	72	106	172	230	270	305	294	280	288	262	259	256
79		Нальчик	—	13	48	88	146	200	235	275	240	239	247	246	246
80	25	Таганрог	51	86	189	202	254	278	292	282	258	251	245	242	242
81		Нижнекамск	—	—	—	—	49	136	191	225	234	236	241	241	240
82	44	Благовещенск	33	61	58	94	128	172	206	219	214	224	241	241	240
83		Люберцы	—	10	48	95	135	154	165	157	173	190	224	230	236
84	121	Петрозаводск	13	26	70	135	192	236	269	266	262	277	235	236	236
85		Комсомольск-на-Амуре	—	—	71	177	218	266	315	281	264	251	239	236	235
86		Королёв[j]	—	—	44	72	106	114	159	143	183	221	228	227	226
87		Энгельс	20	34	69	91	130	163	181	194	202	224	225	223	223
88	57	Великий Новгород	26	33	40	61	128	185	229	217	219	222	224	223	222
89	88	Шахты	16	49	135	196	205	209	226	223	240	237	226	222	221
90		Братск	—	—	—	43	155	215	256	251	246	234	224	221	220
91	282	Сыктывкар	4	5	24	69	125	184	232	230	235	244	221	220	220
92		Ангарск	—	—	—	135	203	240	265	247	234	227	221	218	217
93	91	Старый Оскол	16	20	11	27	52	116	174	216	221	222	222	218	217
94		Дзержинск	—	9	103	164	221	258	285	261	241	233	219	217	215
95		Красногорск	—	—	18	35	63	77	90	92	117	145	188	189	193
96	107	Орск	14	14	66	176	225	247	271	251	240	231	189	188	188
97		Одинцово	—	3	13	20	67	101	125	135	139	141	181	186	187
98	47	Псков	30	43	60	81	127	175	204	203	203	208	193	189	187
99		Абакан	—	3	37	56	90	129	154	165	165	179	185	185	186
100		Армавир	18	75	84	111	144	160	161	194	189	189	187	184	185
